rainfall_mm_hr,slope_degrees,soil_moisture_proxy_pct,historical_landslide_frequency,ground_movement_proxy_pct,risk_score
26.267,18.491,11.32,3.327,32.3,20.471
143.135,39.394,90.28,4.723,82.7,94.164
185.764,55.48,97.73,6.484,95.5,98.187
182.138,21.968,8.88,4.628,38.6,32.784
20.012,18.861,29.75,2.115,35.2,18.581
73.236,50.908,79.38,4.183,84.3,46.712
119.755,45.623,24.05,5.247,70.3,40.512
7.234,27.484,37.07,2.601,48.2,16.241
169.235,28.523,21.2,3.69,47.3,34.674
93.111,3.909,83.92,2.766,36.4,34.979
3.494,17.439,48.97,2.015,39.1,12.998
59.647,29.028,6.8,4.123,44.6,33.652
195.428,23.091,37.89,3.164,44.9,34.722
11.751,37.304,0.88,4.497,53.0,18.454
11.537,30.583,75.12,3.31,64.8,23.761
12.324,2.854,13.15,0.75,9.0,8.297
106.016,22.958,12.57,3.611,38.3,32.368
96.239,25.051,45.37,2.77,48.4,35.588
77.642,7.024,72.65,2.241,35.2,33.912
116.205,26.436,49.29,4.106,54.4,37.714
63.501,3.551,16.08,2.715,15.6,27.382
179.201,10.765,37.87,3.594,32.3,32.339
154.631,27.796,27.81,3.715,48.5,35.26
48.278,28.344,92.9,3.554,68.2,41.622
9.365,55.588,23.9,4.863,69.3,24.504
1.866,20.801,56.16,3.254,48.1,15.121
161.588,39.72,48.88,5.305,72.1,41.95
178.905,14.162,99.66,2.594,52.1,38.883
16.719,41.969,50.46,3.523,70.6,26.158
89.534,13.23,16.51,2.575,26.1,29.503
177.125,2.032,71.07,1.871,28.3,32.213
25.265,17.311,4.69,2.131,26.0,17.797
131.625,3.882,87.47,1.769,35.0,34.336
27.246,10.661,75.11,2.054,39.5,24.812
187.684,18.757,4.29,3.058,29.8,29.924
6.186,52.187,67.64,4.094,80.5,26.344
167.165,49.482,4.83,5.849,66.1,39.903
79.023,54.06,57.29,4.605,78.7,45.44
168.012,8.585,2.68,3.07,18.0,27.428
138.481,30.882,58.77,2.966,59.4,38.601
110.273,52.795,82.42,5.405,88.2,48.739
26.177,39.929,55.41,2.939,68.3,29.794
132.009,59.159,60.47,5.113,80.9,95.216
139.436,49.86,84.66,5.747,89.8,95.969
79.582,36.53,75.63,3.522,72.1,42.323
163.318,46.574,79.62,4.98,86.3,94.634
60.375,51.005,69.98,4.531,82.3,46.059
193.681,7.185,94.83,1.836,41.0,35.971
85.033,27.981,20.27,3.606,46.2,34.361
143.438,3.808,33.94,1.942,19.3,28.609
189.272,37.315,48.99,4.9,68.4,40.993
143.229,27.92,32.88,3.463,49.5,35.586
71.639,34.768,77.52,4.504,73.1,43.14
152.128,11.655,32.88,3.373,31.2,31.766
