rainfall_mm_hr,slope_degrees,soil_moisture_proxy_pct,historical_landslide_frequency,ground_movement_proxy_pct,risk_score
32.0,17.8,18.2,5.9,40.0,42
29.5,18.1,14.9,4.8,36.6,43
35.8,25.7,31.2,2.2,43.4,47
37.9,19.7,24.6,1.7,33.5,52
5.1,22.0,12.1,2.1,33.3,17
36.5,23.2,36.1,4.4,47.6,60
28.9,18.0,23.4,2.3,32.8,37
42.8,25.9,36.2,6.7,56.4,64
18.5,42.8,14.6,5.2,64.9,50
26.7,19.4,21.2,7.4,46.4,47
34.2,18.0,36.9,0.3,31.8,49
20.1,29.9,21.4,5.7,53.9,45
32.8,26.1,31.7,2.1,43.8,52
37.2,25.0,33.6,4.7,49.6,62
11.0,13.2,25.3,0.4,23.3,18
7.6,30.9,14.2,3.1,46.3,39
26.5,10.4,36.3,5.8,36.9,43
38.4,15.5,25.7,0.0,24.9,46
48.6,13.7,38.9,5.0,39.4,70
30.4,28.9,25.3,6.2,55.2,64
45.9,13.9,35.2,2.9,33.3,58
12.0,12.8,15.9,5.9,33.7,23
48.9,33.1,31.0,7.6,65.1,74
13.3,17.4,23.5,4.3,37.1,30
35.6,23.1,30.0,7.2,52.7,65
6.1,30.6,10.1,1.8,41.5,29
0.4,12.4,10.8,0.3,17.8,13
3.5,17.5,13.3,1.1,26.2,26
12.1,13.3,17.1,5.3,33.2,32
21.2,33.6,25.2,7.9,64.6,49
3.0,13.8,21.5,1.5,25.5,24
7.0,40.6,11.5,0.6,50.1,31
2.5,43.9,25.6,7.4,75.0,45
8.3,24.0,13.2,0.5,31.9,30
0.1,37.5,17.1,2.3,52.5,38
7.7,30.3,19.7,4.3,50.3,38
2.9,39.8,15.8,1.3,52.2,42
4.0,33.6,11.8,1.9,45.6,25
47.1,11.4,36.4,0.7,25.3,61
15.8,21.0,19.1,2.1,34.3,29
33.6,36.3,23.3,0.6,48.8,62
31.1,28.8,23.1,4.0,48.9,50
46.7,22.9,44.3,1.3,42.0,64
30.6,10.3,35.8,6.5,38.4,48
46.6,19.3,33.4,7.1,49.2,62
13.6,17.1,23.6,5.1,38.8,33
25.3,11.8,26.2,5.1,33.7,40
2.2,44.3,7.3,1.3,54.7,40
27.6,12.6,18.5,7.1,37.3,39
27.3,15.2,31.3,1.0,28.8,40
18.2,11.4,33.4,2.9,29.9,31
33.3,40.6,26.9,7.8,72.7,65
46.3,38.0,26.2,1.4,53.6,74
1.2,42.6,15.0,6.4,67.8,39
13.3,40.5,18.4,6.9,67.8,49
10.0,38.7,21.7,7.0,67.0,46
1.2,40.3,7.3,7.7,66.2,39
17.6,39.5,23.6,2.6,57.5,40
5.8,43.7,18.4,2.1,59.3,35
29.8,25.3,28.1,7.9,56.3,51
19.3,34.8,20.0,0.0,44.7,41
18.2,21.6,17.5,2.5,35.5,31
36.0,24.3,24.3,3.2,42.3,55
27.7,23.3,23.5,6.0,47.9,47
30.8,10.0,24.9,2.3,24.3,44
39.3,25.5,30.2,5.4,50.9,69
23.7,15.9,33.2,0.7,29.4,45
33.2,43.3,24.8,1.9,60.3,64
11.2,18.6,8.1,3.8,32.6,22
22.8,35.1,29.8,3.1,55.7,55
12.2,36.3,14.7,6.2,60.2,40
38.9,34.4,30.6,3.7,56.7,64
45.9,26.3,24.0,4.2,46.9,66
47.5,35.2,41.5,4.0,61.6,81
44.9,19.1,36.5,2.0,37.2,58
38.3,19.6,32.4,0.6,33.0,52
11.7,12.8,21.1,1.2,23.6,28
34.7,24.3,26.3,4.3,45.6,60
3.1,36.9,17.9,7.6,65.4,32
42.8,10.2,34.7,2.8,28.7,55
42.7,36.2,37.8,4.4,62.6,70
24.4,23.6,20.9,5.4,46.0,50
36.2,44.3,39.5,4.3,71.8,76
29.6,25.0,23.6,6.9,52.1,51
2.5,21.4,9.1,6.1,41.8,30
13.9,39.2,24.8,3.8,60.5,40
50.0,37.3,35.5,5.2,65.1,70
47.5,15.3,24.4,1.0,26.8,49
28.2,36.8,24.5,1.3,51.5,49
38.9,30.3,23.7,7.4,59.3,69
19.8,34.2,19.9,5.0,56.5,44
34.9,38.2,28.5,6.4,67.0,60
17.4,27.7,18.4,2.7,43.0,44
41.1,32.2,32.0,6.6,61.9,65
21.8,19.5,32.2,6.5,47.6,52
23.2,21.3,29.4,2.0,37.5,35
13.9,29.9,21.9,5.3,53.0,44
1.4,17.4,14.8,6.4,39.8,26
14.0,29.5,25.6,4.1,50.7,39
4.3,36.5,18.1,5.5,59.7,45
22.4,24.2,14.0,1.9,35.8,42
23.7,36.1,23.4,2.6,53.6,57
13.5,16.7,11.1,1.0,24.4,22
9.6,30.6,18.1,6.1,54.7,40
49.0,22.6,37.4,2.4,42.3,61
13.7,34.4,26.7,1.0,48.7,47
5.1,26.8,6.0,2.7,38.3,20
12.6,12.3,19.2,3.9,29.2,20
7.6,13.0,26.6,2.0,27.4,28
30.3,28.3,27.5,3.6,48.7,59
14.9,29.9,20.3,0.5,40.6,32
47.4,33.1,26.9,1.3,48.1,64
27.6,34.1,19.7,3.8,53.3,47
11.6,25.9,23.9,5.5,49.7,38
39.4,42.7,34.7,3.4,66.4,70
32.4,12.5,37.6,1.3,28.4,44
29.8,25.4,36.5,3.7,48.4,54
35.0,27.3,35.2,0.6,42.4,47
